gene,disease
SNCG,breast carcinoma
SOD2,breast carcinoma
SPP1,breast carcinoma
SRC,breast carcinoma
BRAF,breast carcinoma
STAT3,breast carcinoma
STAT5A,breast carcinoma
AURKA,breast carcinoma
SULT1A1,breast carcinoma
ZEB1,breast carcinoma
TERT,breast carcinoma
TFAP2A,breast carcinoma
TFRC,breast carcinoma
TGM2,breast carcinoma
THBS1,breast carcinoma
TNF,breast carcinoma
TOP2A,breast carcinoma
TP53BP1,breast carcinoma
TP73,breast carcinoma
TXN,breast carcinoma
TYMS,breast carcinoma
VDR,breast carcinoma
VEGFC,breast carcinoma
VIM,breast carcinoma
WT1,breast carcinoma
XRCC2,breast carcinoma
CXCR4,breast carcinoma
NCOA3,breast carcinoma
ARID1A,breast carcinoma
BCAR3,breast carcinoma
L3MBTL3,breast carcinoma
CAT,breast carcinoma
CAV1,breast carcinoma
TNFSF10,breast carcinoma
CCNE1,breast carcinoma
CLDN1,breast carcinoma
MTDH,breast carcinoma
ABCG2,breast carcinoma
APOBEC3B,breast carcinoma
ZEB2,breast carcinoma
ERBB2,breast carcinoma
BRCA1,breast carcinoma
TUBB3,breast carcinoma
NISCH,breast carcinoma
PPARGC1B,breast carcinoma
DHFR,breast carcinoma
EPOR,breast carcinoma
ALK,breast carcinoma
NOS2,breast carcinoma
SERPINB2,breast carcinoma
CDH1,breast carcinoma
GPNMB,breast carcinoma
SLCO1B1,breast carcinoma
APOBEC3A,breast carcinoma
HES1,breast carcinoma
IFNB1,breast carcinoma
IGFBP7,breast carcinoma
MIR152,breast carcinoma
MIF,breast carcinoma
MIR342,breast carcinoma
MIR429,breast carcinoma
RELA,breast carcinoma
SLC2A5,breast carcinoma
INPP4B,breast carcinoma
CDH5,breast carcinoma
FST,breast carcinoma
LAMTOR5,breast carcinoma
CPT1A,breast carcinoma
ENO1,breast carcinoma
FLNA,breast carcinoma
CADM1,breast carcinoma
BIRC5,breast carcinoma
KRT18,breast carcinoma
MIR127,breast carcinoma
MFGE8,breast carcinoma
LEF1,breast carcinoma
EMSY,breast carcinoma
SFRP2,breast carcinoma
PER3,breast carcinoma
SLC16A3,breast carcinoma
CD74,breast carcinoma
PTGS2,breast carcinoma
NCOA2,breast carcinoma
DDIT3,breast carcinoma
DPYD,breast carcinoma
HP,breast carcinoma
MIR132,breast carcinoma
MIR301A,breast carcinoma
PIM1,breast carcinoma
DLL4,breast carcinoma
PTGS1,breast carcinoma
MIR489,breast carcinoma
RBM3,breast carcinoma
MAP2K4,breast carcinoma
ADAMTS1,breast carcinoma
CD40,breast carcinoma
OCLN,breast carcinoma
CFL1,breast carcinoma
LPAR1,breast carcinoma
FHL2,breast carcinoma
JMJD6,breast carcinoma
GPX4,breast carcinoma
HOXB9,breast carcinoma
MIR10A,breast carcinoma
MME,breast carcinoma
PLA2G4A,breast carcinoma
BCL2A1,breast carcinoma
RPS6KB2,breast carcinoma
CCL20,breast carcinoma
NR2F1,breast carcinoma
C1QBP,breast carcinoma
WNT10B,breast carcinoma
DEK,breast carcinoma
STC2,breast carcinoma
ADAR,breast carcinoma
ELK3,breast carcinoma
GPX2,breast carcinoma
GZMB,breast carcinoma
LDHB,breast carcinoma
CXCL9,breast carcinoma
ACHE,breast carcinoma
MYH9,breast carcinoma
ANGPTL4,breast carcinoma
PBRM1,breast carcinoma
ARRDC3,breast carcinoma
BCHE,breast carcinoma
RPS6,breast carcinoma
FKBPL,breast carcinoma
SHMT1,breast carcinoma
NORAD,breast carcinoma
TFPI2,breast carcinoma
KMT2D,breast carcinoma
ARTN,breast carcinoma
FOXQ1,breast carcinoma
THEMIS2,breast carcinoma
H6PD,breast carcinoma
SMAD4,breast carcinoma
TNIP1,breast carcinoma
CENPF,breast carcinoma
LRRC3B,breast carcinoma
CNR2,breast carcinoma
DSC3,breast carcinoma
EDNRB,breast carcinoma
EFNA1,breast carcinoma
FBL,breast carcinoma
MECOM,breast carcinoma
FABP7,breast carcinoma
DLL1,breast carcinoma
HHEX,breast carcinoma
BIRC2,breast carcinoma
HSPA1B,breast carcinoma
MAL,breast carcinoma
NFKBIA,breast carcinoma
RRAD,breast carcinoma
SFRP5,breast carcinoma
BMPR2,breast carcinoma
SREBF2,breast carcinoma
ICAM5,breast carcinoma
TP53BP2,breast carcinoma
MED28,breast carcinoma
ADAM33,breast carcinoma
CUL5,breast carcinoma
ACVR1,breast carcinoma
CDA,breast carcinoma
ALK,breast carcinoma
CDH2,breast carcinoma
APC2,breast carcinoma
DES,breast carcinoma
AFP,breast carcinoma
EFEMP1,breast carcinoma
EPB41L3,breast carcinoma
SYNE1,breast carcinoma
ZNF404,breast carcinoma
ARF1,breast carcinoma
ARHGDIA,breast carcinoma
LLGL2,breast carcinoma
MIR101-2,breast carcinoma
MIR24-2,breast carcinoma
MEIS1,breast carcinoma
RGS2,breast carcinoma
RPS4X,breast carcinoma
SLC2A2,breast carcinoma
BTK,breast carcinoma
NSD2,breast carcinoma
LIMD2,breast carcinoma
EIF2S2,breast carcinoma
CTU1,breast carcinoma
MAP3K13,breast carcinoma
AKAP12,breast carcinoma
TCL1B,breast carcinoma
MED12,breast carcinoma
UBD,breast carcinoma
LBX1,breast carcinoma
DEPP1,breast carcinoma
BTN3A2,breast carcinoma
SPATA18,breast carcinoma
CRHR1,breast carcinoma
FGD5,breast carcinoma
DIO3,breast carcinoma
NR2F6,breast carcinoma
COTL1,breast carcinoma
HEY2,breast carcinoma
HEYL,breast carcinoma
PABPC1,breast carcinoma
GRIK2,breast carcinoma
CXCL3,breast carcinoma
NUDT2,breast carcinoma
HNRNPK,breast carcinoma
HNRNPL,breast carcinoma
IBSP,breast carcinoma
SLC10A6,breast carcinoma
JAG2,breast carcinoma
NDUFS3,breast carcinoma
NMBR,breast carcinoma
NRCAM,breast carcinoma
PDGFA,breast carcinoma
MRPS23,breast carcinoma
PDZK1,breast carcinoma
ATP7B,breast carcinoma
RMND1,breast carcinoma
ELP3,breast carcinoma
MIR31HG,breast carcinoma
TRERF1,breast carcinoma
GALNT16,breast carcinoma
RXRB,breast carcinoma
MNX1-AS1,breast carcinoma
SIM1,breast carcinoma
UMPS,breast carcinoma
SLC2A10,breast carcinoma
H2BC4,breast carcinoma
CASP7,breast carcinoma
RSPO3,breast carcinoma
SYNJ2,breast carcinoma
HERC2,breast carcinoma
CCNH,breast carcinoma
RCCD1,breast carcinoma
SLC28A1,breast carcinoma
REPS2,breast carcinoma
STARD8,breast carcinoma
SERPINB5,breast carcinoma
BAG1,breast carcinoma
SOD2,breast carcinoma
TANK,breast carcinoma
ZNF667-AS1,breast carcinoma
HNRNPR,breast carcinoma
B4GAT1,breast carcinoma
CLIC1,breast carcinoma
KLHDC7A,breast carcinoma
COL7A1,breast carcinoma
METTL6,breast carcinoma
UBLCP1,breast carcinoma
CD109,breast carcinoma
RALYL,breast carcinoma
TAFA4,breast carcinoma
NOP9,breast carcinoma
EEF1B2,breast carcinoma
EEF2,breast carcinoma
DTX3,breast carcinoma
NUDT17,breast carcinoma
NSUN6,breast carcinoma
RNF182,breast carcinoma
ALDOA,breast carcinoma
CCT5,breast carcinoma
KLHDC10,breast carcinoma
VPS39,breast carcinoma
HEY1,breast carcinoma
SNX32,breast carcinoma
RIBC2,breast carcinoma
GDF10,breast carcinoma
CLUL1,breast carcinoma
GNAI2,breast carcinoma
ANKRD34A,breast carcinoma
MRPS28,breast carcinoma
MRPL13,breast carcinoma
CXCL2,breast carcinoma
GUCY1A2,breast carcinoma
H1-2,breast carcinoma
HADHB,breast carcinoma
HOXD11,breast carcinoma
IGBP1,breast carcinoma
CTU2,breast carcinoma
ARAF,breast carcinoma
EIF6,breast carcinoma
LINC00671,breast carcinoma
LLGL1,breast carcinoma
PLEKHD1,breast carcinoma
HAPLN4,breast carcinoma
MAN2C1,breast carcinoma
MIR345,breast carcinoma
MT3,breast carcinoma
PPP1R12B,breast carcinoma
LRRC37A2,breast carcinoma
ITSN2,breast carcinoma
MRPS7,breast carcinoma
PDE2A,breast carcinoma
EVL,breast carcinoma
PCDHGB6,breast carcinoma
CMC2,breast carcinoma
MRPS22,breast carcinoma
ARID1B,breast carcinoma
ZSWIM5,breast carcinoma
NECTIN2,breast carcinoma
ACTA2,breast carcinoma
TRMT11,breast carcinoma
RIC8A,breast carcinoma
RPL23A,breast carcinoma
RPL31,breast carcinoma
RPLP2,breast carcinoma
RPS7,breast carcinoma
RPS8,breast carcinoma
KANSL1-AS1,breast carcinoma
MRPL9,breast carcinoma
SMARCD1,breast carcinoma
TLE3,breast carcinoma
UPK1B,breast carcinoma
VEGFB,breast carcinoma
DYNC2H1,breast carcinoma
TMEM25,breast carcinoma
ELP1,breast carcinoma
H2BC12,breast carcinoma
MACIR,breast carcinoma
ALKBH8,breast carcinoma
ATP6AP1L,breast carcinoma
LDHAL6B,breast carcinoma
ZNF432,breast carcinoma
MRPL19,breast carcinoma
LRRC37A,breast carcinoma
CLDN4,breast carcinoma
ATF4,breast carcinoma
PTGER1,breast carcinoma
SLC9A3R1,breast carcinoma
NF2,breast carcinoma
LRP6,coronary artery disease
TERT,coronary artery disease
CDKN2B,coronary artery disease
APOA5,coronary artery disease
PHACTR1,coronary artery disease
PCSK9,coronary artery disease
ABO,coronary artery disease
LDLR,coronary artery disease
LPA,coronary artery disease
NOS3,coronary artery disease
ANGPTL4,coronary artery disease
TCF21,coronary artery disease
PECAM1,coronary artery disease
PLPP3,coronary artery disease
JCAD,coronary artery disease
SH2B3,coronary artery disease
ZC3HC1,coronary artery disease
MRAS,coronary artery disease
GUCY1A1,coronary artery disease
LIPA,coronary artery disease
ABCG8,coronary artery disease
MIA3,coronary artery disease
MEF2A,coronary artery disease
ATP2B1,coronary artery disease
LMOD1,coronary artery disease
WDR12,coronary artery disease
HHIPL1,coronary artery disease
PROCR,coronary artery disease
ADAMTS7,coronary artery disease
CRP,coronary artery disease
ACE,coronary artery disease
ESR1,coronary artery disease
HMOX1,coronary artery disease
APOA1,coronary artery disease
APOC3,coronary artery disease
LTA,coronary artery disease
MIR146A,coronary artery disease
MMP3,coronary artery disease
PON1,coronary artery disease
PTGS2,coronary artery disease
SORT1,coronary artery disease
CCL2,coronary artery disease
CXCL12,coronary artery disease
TLR4,coronary artery disease
VEGFA,coronary artery disease
KL,coronary artery disease
GDF15,coronary artery disease
IRS1,coronary artery disease
GNB3,coronary artery disease
ADTRP,coronary artery disease
TRIB1,coronary artery disease
CD40LG,coronary artery disease
ESR2,coronary artery disease
NPPB,coronary artery disease
EPO,coronary artery disease
APCS,coronary artery disease
DDAH2,coronary artery disease
IRAK1,coronary artery disease
PAPPA,coronary artery disease
MIR146B,coronary artery disease
ABCG5,coronary artery disease
TRAF6,coronary artery disease
PDGFD,coronary artery disease
NAT2,coronary artery disease
ANKS1A,coronary artery disease
HECTD4,coronary artery disease
MRPS6,coronary artery disease
APOB,cardiovascular disease
APOE,cardiovascular disease
LPA,cardiovascular disease
NOS3,cardiovascular disease
ADRB1,cardiovascular disease
CETP,cardiovascular disease
CRP,cardiovascular disease
CST3,cardiovascular disease
ACE,cardiovascular disease
AGT,cardiovascular disease
EDN1,cardiovascular disease
ALB,cardiovascular disease
GH1,cardiovascular disease
HP,cardiovascular disease
ICAM1,cardiovascular disease
APOC3,cardiovascular disease
LPL,cardiovascular disease
MPO,cardiovascular disease
MTHFR,cardiovascular disease
NPPB,cardiovascular disease
PON1,cardiovascular disease
PTGS2,cardiovascular disease
CCL2,cardiovascular disease
VCAM1,cardiovascular disease
VWF,cardiovascular disease
CYP2C19,cardiovascular disease
NPY,cardiovascular disease
SELE,cardiovascular disease
CBS,cardiovascular disease
SORT1,cardiovascular disease
PON2,cardiovascular disease
GPX1,cardiovascular disease
GRK2,cardiovascular disease
GRK5,cardiovascular disease
SLC12A2,cardiovascular disease
TNNT2,cardiovascular disease
BRAF,melanoma
CDKN2A,melanoma
HRAS,melanoma
PTEN,melanoma
BAP1,melanoma
GNA11,melanoma
GNAQ,melanoma
BAP1,melanoma
CDK4,melanoma
ERBB4,melanoma
GNA11,melanoma
GNAQ,melanoma
MITF,melanoma
NRAS,melanoma
MAP2K1,melanoma
STK11,melanoma
TERT,melanoma
TP53,melanoma
BAP1,melanoma
CDKN2A,melanoma
CDKN2A,melanoma
CDK4,melanoma
MITF,melanoma
MAP2K2,melanoma
MITF,melanoma
CDKN2A,melanoma
NF1,melanoma
RAC1,melanoma
SF3B1,melanoma
CDKN2A,melanoma
MC1R,melanoma
XRCC3,melanoma
POT1,melanoma
PPP6C,melanoma
CYSLTR2,melanoma
PARP1,melanoma
CTNNB1,melanoma
ERCC2,melanoma
AKT1,melanoma
KIT,melanoma
MC1R,melanoma
MDM2,melanoma
MTAP,melanoma
ATM,melanoma
SLC45A2,melanoma
PIK3CA,melanoma
RAF1,melanoma
BRCA2,melanoma
TYR,melanoma
XPC,melanoma
TRRAP,melanoma
CDK4,melanoma
KIT,melanoma
NRAS,melanoma
BRAF,melanoma
TP53,melanoma
CDK4,melanoma
CDKN2A,melanoma
TERT,melanoma
PDGFRA,melanoma
POT1,melanoma
CASP8,melanoma
ERCC4,melanoma
XPC,melanoma
FTO,melanoma
PTEN,melanoma
RAC1,melanoma
RAF1,melanoma
ERCC5,melanoma
SDHD,melanoma
CTNNB1,melanoma
GNA11,melanoma
PLCB4,melanoma
DDB2,melanoma
ERCC3,melanoma
HRAS,melanoma
MX2,melanoma
XPA,melanoma
PIK3CA,melanoma
MAP2K2,melanoma
SF3B1,melanoma
GNA11,melanoma
GNAQ,melanoma
BAP1,melanoma
AKT3,melanoma
CDK2,melanoma
HPSE,melanoma
CSF2,melanoma
CTLA4,melanoma
E2F1,melanoma
MLANA,melanoma
FLT1,melanoma
PRAME,melanoma
ABCB5,melanoma
IFNA1,melanoma
IFNA2,melanoma
IFNB1,melanoma
IFNG,melanoma
IL2,melanoma
LGALS3,melanoma
MAGEA1,melanoma
MET,melanoma
MELTF,melanoma
PDCD1,melanoma
POMC,melanoma
PPARG,melanoma
PTGS2,melanoma
CCND1,melanoma
RET,melanoma
S100A4,melanoma
PMEL,melanoma
TLR4,melanoma
TNF,melanoma
TYRP1,melanoma
VEGFC,melanoma
ERCC3,melanoma
PPP6C,melanoma
MAP2K1,melanoma
CYSLTR2,melanoma
SF3B1,melanoma
GNA11,melanoma
GNAQ,melanoma
CYSLTR2,melanoma
BAP1,melanoma
CDKN2A,melanoma
KIT,melanoma
KLRK1,melanoma
ALK,melanoma
TNC,melanoma
CRYBG1,melanoma
FASLG,melanoma
ASIP,melanoma
AURKA,melanoma
HDAC6,melanoma
ALDH1A1,melanoma
ARNT,melanoma
EIF1AX,melanoma
CUX1,melanoma
MMP8,melanoma
XRCC3,melanoma
GDF15,melanoma
ERCC2,melanoma
ERCC1,melanoma
APEX1,melanoma
SETDB1,melanoma
CCND1,melanoma
EPO,melanoma
PTK2B,melanoma
FASN,melanoma
PHGDH,melanoma
PAK1,melanoma
LXN,melanoma
RAP1GAP,melanoma
ROS1,melanoma
NDRG1,melanoma
STAG2,melanoma
CSF3,melanoma
EPOR,melanoma
GRIN2A,melanoma
RASA2,melanoma
SLC5A5,melanoma
SYK,melanoma
TFPI2,melanoma
GAB2,melanoma
RET,melanoma
EP300,melanoma
JMJD6,melanoma
SUZ12,melanoma
GLO1,melanoma
GRM3,melanoma
MIR340,melanoma
NF2,melanoma
PPARD,melanoma
STX17,melanoma
PRDX2,melanoma
FAT4,melanoma
CAPN1,melanoma
AKT1,melanoma
ERCC4,melanoma
ERCC5,melanoma
STK11,melanoma
TERT,melanoma
CALR,melanoma
HOXB13,melanoma
STIP1,melanoma
IL1RAPL1,melanoma
BATF2,melanoma
CLU,melanoma
CST6,melanoma
CTH,melanoma
ALDH1A3,melanoma
KDM1A,melanoma
ABL1,melanoma
ASF1A,melanoma
SLC17A5,melanoma
HSPA1A,melanoma
MAP3K5,melanoma
MAP3K9,melanoma
MYO7A,melanoma
PAX4,melanoma
PLCB4,melanoma
TNFRSF19,melanoma
WFDC1,melanoma
RAC2,melanoma
RPS3,melanoma
SIPA1,melanoma
SYT4,melanoma
CASP10,melanoma
CUL3,melanoma
ACVR1,melanoma
RIN1,melanoma
MAGEC1,melanoma
CNR1,melanoma
CREB1,melanoma
NF1,melanoma
PDGFRA,melanoma
JMJD6,melanoma
CDK6,melanoma
EPHA4,melanoma
MAP3K9,melanoma
PRKD1,melanoma
STK11,melanoma
MC1R,melanoma
KDM1A,melanoma
KDM4C,melanoma
IFNB1,melanoma
PTEN,melanoma
PXN,melanoma
BRAF,melanoma
KDM1A,melanoma
KDM4C,melanoma
IFNB1,melanoma
PTEN,melanoma
PXN,melanoma
BRAF,melanoma
CALR,melanoma
KDM1A,melanoma
KDM4C,melanoma
IFNB1,melanoma
PTEN,melanoma
PXN,melanoma
BRAF,melanoma
CALR,melanoma
CDKN1C,melanoma
RPP38,melanoma
DRAP1,melanoma
RAI1,melanoma
PRSS23,melanoma
TMEM132B,melanoma
DDIT4L,melanoma
NUS1,melanoma
CLNS1A,melanoma
CPT1C,melanoma
COL2A1,melanoma
ZNF831,melanoma
CP,melanoma
CYP1B1,melanoma
CCDC63,melanoma
TMEM30B,melanoma
DCC,melanoma
GPHA2,melanoma
DLG2,melanoma
DSC1,melanoma
EDA,melanoma
KHDRBS2,melanoma
EPB41,melanoma
F2RL1,melanoma
ZNF438,melanoma
SLC39A12,melanoma
ARL5B,melanoma
NT5DC1,melanoma
HS3ST5,melanoma
RFX6,melanoma
KDM4B,melanoma
KDM4C,melanoma
TSPYL4,melanoma
UBR4,melanoma
NPAP1,melanoma
VGLL2,melanoma
QPCT,melanoma
PPP1R14B,melanoma
CNNM1,melanoma
SLC25A45,melanoma
CD163L1,melanoma
DCBLD1,melanoma
DNAJC15,melanoma
SAC3D1,melanoma
RAX,melanoma
HDAC2,melanoma
HOXA9,melanoma
HOXD12,melanoma
TAS2R60,melanoma
IFNA5,melanoma
INCENP,melanoma
KLRB1,melanoma
ARL2,melanoma
MPST,melanoma
MYO1B,melanoma
NFKBIE,melanoma
NPPA,melanoma
PAX6,melanoma
HIKESHI,melanoma
PIP4K2A,melanoma
LRP1B,melanoma
WDR74,melanoma
MTPAP,melanoma
ACER3,melanoma
ECHDC1,melanoma
PCDHB8,melanoma
AKR1B10,melanoma
GOPC,melanoma
GPAM,melanoma
FAM160B1,melanoma
PTPRK,melanoma
PTPRO,melanoma
TRAPPC1,melanoma
DNAJC1,melanoma
IQCH,melanoma
SLC6A11,melanoma
SLC15A2,melanoma
UGT2B10,melanoma
MRPL49,melanoma
SF1,melanoma
EPHX3,melanoma
ADAMTS20,melanoma
MLLT10,melanoma
CUBN,melanoma
SLC35G2,melanoma
C11orf68,melanoma
EIF1AD,melanoma
CBS,melanoma
PKMYT1,melanoma
PTER,melanoma
KDM4A,melanoma
BZW1,melanoma
USP6NL,melanoma
JAKMIP2,melanoma
REC8,melanoma
KDM1A,melanoma
KDM4C,melanoma
IFNB1,melanoma
PTEN,melanoma
PXN,melanoma
BRAF,melanoma
CALR,melanoma
STAG2,melanoma
CUX1,melanoma
DDB2,melanoma
ERBB4,melanoma
JMJD6,melanoma
ALK,melanoma
GNAQ,melanoma
PAK1,melanoma
XPA,melanoma
TRRAP,melanoma
IFNB1,melanoma
BAP1,melanoma
MAP4K1,melanoma
STK38,melanoma
ALPK2,melanoma
GRK7,melanoma
SIK1,melanoma
NEK10,melanoma
STK32A,melanoma
EPHA7,melanoma
EPHA8,melanoma
EPHB4,melanoma
MAST1,melanoma
PASK,melanoma
FLT4,melanoma
MTOR,melanoma
FYN,melanoma
GUCY2C,melanoma
GUCY2D,melanoma
ITK,melanoma
MAP3K15,melanoma
MAP3K10,melanoma
ROR1,melanoma
PDGFRA,melanoma
STK32B,melanoma
STRADB,melanoma
PRKCI,melanoma
PKN1,melanoma
PRKDC,melanoma
PAK5,melanoma
SCYL1,melanoma
PTK2,melanoma
ALPK3,melanoma
RPS6KA2,melanoma
MAP2K4,melanoma
WNK4,melanoma
BMPR1B,melanoma
AURKA,melanoma
CDKL5,melanoma
TAF1,melanoma
TRIO,melanoma
TTN,melanoma
PEAK1,melanoma
BRSK1,melanoma
TTBK1,melanoma
CAMK1,melanoma
DYRK1B,melanoma
MAP3K13,melanoma
ROCK2,melanoma
ULK2,melanoma
OXSR1,melanoma
ADAM10,melanoma
ADAM28,melanoma
ADAM29,melanoma
ADAM33,melanoma
ADAM12,melanoma
ADAM18,melanoma
ADAM7,melanoma
PTEN,melanoma
CDK4,melanoma
CDKN2B,melanoma
POT1,melanoma
MGMT,melanoma
MITF,melanoma
TERF2IP,melanoma
ACD,melanoma
TERT,melanoma
BAP1,melanoma
CDKN2A,melanoma
CLEC16A,multiple sclerosis
HLA-DRB1,multiple sclerosis
IL2RA,multiple sclerosis
IL7R,multiple sclerosis
TNFRSF1A,multiple sclerosis
CD40,multiple sclerosis
CD58,multiple sclerosis
TYK2,multiple sclerosis
KIF1B,multiple sclerosis
HLA-DRA,multiple sclerosis
CBLB,multiple sclerosis
STAT4,multiple sclerosis
TNFAIP3,multiple sclerosis
TNFSF14,multiple sclerosis
CD6,multiple sclerosis
NLRP3,multiple sclerosis
HLA-DPB1,multiple sclerosis
HLA-DQB1,multiple sclerosis
ICAM1,multiple sclerosis
IRF8,multiple sclerosis
IFNB1,multiple sclerosis
IFNG,multiple sclerosis
APOE,multiple sclerosis
IL1B,multiple sclerosis
IL1RN,multiple sclerosis
IL7,multiple sclerosis
IL10,multiple sclerosis
IL17A,multiple sclerosis
P2RX7,multiple sclerosis
VDR,multiple sclerosis
CNR1,multiple sclerosis
GC,multiple sclerosis
CASP1,multiple sclerosis
SLC11A1,multiple sclerosis
CLDN11,multiple sclerosis
POMC,multiple sclerosis
PDCD1,multiple sclerosis
NECTIN2,multiple sclerosis
SELE,multiple sclerosis
VCAM1,multiple sclerosis
IL12A,multiple sclerosis
APOE,multiple sclerosis
RBPJ,multiple sclerosis
MCAM,multiple sclerosis
KCNJ10,multiple sclerosis
BCHE,multiple sclerosis
APOE,multiple sclerosis
NLRP3,multiple sclerosis
CNR1,multiple sclerosis
KIF1B,multiple sclerosis
CLEC16A,multiple sclerosis
GC,multiple sclerosis
HLA-DPB1,multiple sclerosis
HLA-DQB1,multiple sclerosis
HLA-DRA,multiple sclerosis
HLA-DRB1,multiple sclerosis
ICAM1,multiple sclerosis
IRF8,multiple sclerosis
IFNB1,multiple sclerosis
IFNG,multiple sclerosis
APOE,multiple sclerosis
RBPJ,multiple sclerosis
IL1B,multiple sclerosis
IL1RN,multiple sclerosis
IL2RA,multiple sclerosis
IL7,multiple sclerosis
IL7R,multiple sclerosis
IL10,multiple sclerosis
IL12A,multiple sclerosis
IL17A,multiple sclerosis
KCNJ10,multiple sclerosis
MCAM,multiple sclerosis
CLDN11,multiple sclerosis
P2RX7,multiple sclerosis
PDCD1,multiple sclerosis
POMC,multiple sclerosis
NECTIN2,multiple sclerosis
BCHE,multiple sclerosis
SELE,multiple sclerosis
SLC11A1,multiple sclerosis
STAT4,multiple sclerosis
TNFAIP3,multiple sclerosis
TNFRSF1A,multiple sclerosis
TYK2,multiple sclerosis
VCAM1,multiple sclerosis
VDR,multiple sclerosis
CASP1,multiple sclerosis
CBLB,multiple sclerosis
TNFSF14,multiple sclerosis
CD6,multiple sclerosis
CD40,multiple sclerosis
CD58,multiple sclerosis
PDE3A,hypertension
YY1AP1,hypertension
SARS2,hypertension
BMPR2,hypertension
KCNK3,hypertension
BMPR2,hypertension
CAV1,hypertension
DGUOK,hypertension
BMPR2,hypertension
SMAD9,hypertension
KCNK3,hypertension
CAV1,hypertension
PTGIS,hypertension
SMAD9,hypertension
AGT,hypertension
AGTR1,hypertension
NOS3,hypertension
BMPR2,hypertension
NR3C2,hypertension
CPS1,hypertension
KCNK3,hypertension
SMAD9,hypertension
ACVRL1,hypertension
VEGFA,hypertension
EDN1,hypertension
NPPB,hypertension
SLC6A4,hypertension
ENG,hypertension
EIF2AK4,hypertension
NOS3,hypertension
ACVRL1,hypertension
NPPA,hypertension
SMAD9,hypertension
AVP,hypertension
EDNRB,hypertension
ALOX5,hypertension
HIF1A,hypertension
KCNA5,hypertension
NFATC2,hypertension
NOS3,hypertension
CCL2,hypertension
CD40LG,hypertension
TBX4,hypertension
BMPR2,hypertension
CAV1,hypertension
ACVRL1,hypertension
ACVRL1,hypertension
KCNK3,hypertension
TBX4,hypertension
EIF2AK4,hypertension
EIF2AK4,hypertension
DGUOK,hypertension
SMAD9,hypertension
TBX4,hypertension
SMAD4,hypertension
ADD1,hypertension
GNB3,hypertension
NOS3,hypertension
BMPR2,hypertension
ACVRL1,hypertension
BMPR2,hypertension
SMAD4,hypertension
BMPR2,hypertension
CAV1,hypertension
KCNK3,hypertension
AGT,hypertension
BMPR2,hypertension
KCNA5,hypertension
REN,hypertension
SMAD1,hypertension
NR3C1,hypertension
NOS2,hypertension
ACE,hypertension
AGT,hypertension
RGS5,hypertension
KCNK3,hypertension
BMPR1B,hypertension
KCNK3,hypertension
EPAS1,hypertension
EPAS1,hypertension
BMPR1B,hypertension
KCNN3,hypertension
TGFA,hypertension
NOS3,hypertension
ECE1,hypertension
ATP1B1,hypertension
KCNA5,hypertension
EIF2AK4,hypertension
NOS3,hypertension
TRIP11,hypertension
CYP17A1,hypertension
FBLN5,hypertension
SLC31A1,hypertension
CBLN2,hypertension
ABCA3,hypertension
FOXO1,hypertension
BRD4,hypertension
GBA,hypertension
GDF2,hypertension
HTR2B,hypertension
CXCL8,hypertension
KCNK3,hypertension
KCNMA1,hypertension
ARG2,hypertension
LEPR,hypertension
LOX,hypertension
MIR204,hypertension
EIF2AK4,hypertension
ATP7A,hypertension
PRKG1,hypertension
CCL1,hypertension
SOD2,hypertension
TNF,hypertension
TPH1,hypertension
CA9,hypertension
CALCA,hypertension
MYH9,hypertension
DDIT3,hypertension
MMP1,hypertension
CYP3A5,hypertension
CALY,hypertension
SLC4A10,hypertension
SMAD1,hypertension
SMAD4,hypertension
TBX4,hypertension
HDAC5,hypertension
GDF2,hypertension
HDAC1,hypertension
AQP1,hypertension
SMAD1,hypertension
SMAD4,hypertension
SOX17,hypertension
ATP13A3,hypertension
HDAC4,hypertension
BMPR2,hypertension
GUCY1A1,hypertension
HP,hypertension
NOS3,hypertension
HP,hypertension
ENG,hypertension
SMAD9,hypertension
EIF2AK4,hypertension
CAV1,hypertension
ACVRL1,hypertension
TBX4,hypertension
KCNMB1,hypertension
HDAC5,hypertension
HDAC1,hypertension
KCNK3,hypertension
SMAD9,hypertension
CAV1,hypertension
HDAC4,hypertension
HDAC5,hypertension
HDAC1,hypertension
KCNK3,hypertension
SMAD9,hypertension
BMPR2,hypertension
CAV1,hypertension
HDAC4,hypertension
GNAS-AS1,hypertension
KLHL3,hypertension
GNAS,hypertension
NR3C2,hypertension
SCNN1A,hypertension
SCNN1B,hypertension
SCNN1G,hypertension
WNK1,hypertension
WNK4,hypertension
STX16,hypertension
VHL,hypertension
HDAC5,hypertension
HDAC1,hypertension
VHL,hypertension
HDAC4,hypertension
HLA-B,hypertension
HDAC5,hypertension
HDAC1,hypertension
KCNK3,hypertension
SMAD9,hypertension
CAV1,hypertension
HDAC4,hypertension
HDAC5,hypertension
HDAC1,hypertension
SMAD9,hypertension
CAV1,hypertension
HDAC4,hypertension
ACE,alzheimer's disease
APP,alzheimer's disease
ADAM10,alzheimer's disease
GSK3B,alzheimer's disease
HFE,alzheimer's disease
APOE,alzheimer's disease
MAPT,alzheimer's disease
TREM2,alzheimer's disease
PSEN1,alzheimer's disease
PLAU,alzheimer's disease
BACE1,alzheimer's disease
IDE,alzheimer's disease
IL1B,alzheimer's disease
INSR,alzheimer's disease
LEP,alzheimer's disease
